"","employees","salary2017","annual_salary","salary2018","raise"
"1","Employee 1",49148.9882115275,-1049.84977398999,48099.1384375375,FALSE
"2","Employee 2",40092.8743602708,7821.29221246578,47914.1665727366,TRUE
"3","Employee 3",49641.8680739589,7081.11350075342,56722.9815747123,TRUE
"4","Employee 4",49354.9396493472,6711.01001440547,56065.9496637527,TRUE
"5","Employee 5",46450.6752579473,-2045.70454545319,44404.9707124941,FALSE
"6","Employee 6",44543.3768234216,4734.26941200159,49277.6462354232,TRUE
"7","Employee 7",46975.6690622307,-4674.45336980745,42301.2156924233,FALSE
"8","Employee 8",48453.6013612524,6657.6387907844,55111.2401520368,TRUE
"9","Employee 9",47670.3587896191,4471.96562075987,52142.3244103789,TRUE
"10","Employee 10",41206.9752952084,-986.063895979896,40220.9113992285,FALSE
"11","Employee 11",45697.6473028772,-3562.2766870074,42135.3706158698,FALSE
"12","Employee 12",44178.8109322079,1888.51600280032,46067.3269350082,TRUE
"13","Employee 13",45067.4562272616,6931.36412999593,51998.8203572575,TRUE
"14","Employee 14",46375.9190402925,5381.94442051463,51757.8634608071,TRUE
"15","Employee 15",40960.2607483976,-1543.63860026933,39416.6221481282,FALSE
"16","Employee 16",49122.2901176661,4977.10408177227,54099.3941994384,TRUE
"17","Employee 17",47708.1777341664,-2792.76158311404,44915.4161510523,FALSE
"18","Employee 18",42122.1198537387,-1796.5132673271,40325.6065864116,FALSE
"19","Employee 19",42625.7345499471,7716.27461421303,50342.0091641601,TRUE
"20","Employee 20",42503.7133926526,-4411.7789901793,38091.9344024733,FALSE
"21","Employee 21",41015.5252972618,4407.49534289353,45423.0206401553,TRUE
"22","Employee 22",42168.8447776251,3094.93083506823,45263.7756126933,TRUE
"23","Employee 23",46700.8687136695,-4831.12739748321,41869.7413161863,FALSE
"24","Employee 24",48461.4321682602,7451.87165914103,55913.3038274013,TRUE
"25","Employee 25",40420.8239167929,2221.0291470401,42641.853063833,TRUE
"26","Employee 26",45319.0498519689,462.481651920825,45781.5315038897,TRUE
"27","Employee 27",46221.8774552457,8013.27337278053,54235.1508280262,TRUE
"28","Employee 28",40062.7983943559,8222.96119877137,48285.7595931273,TRUE
"29","Employee 29",40892.5876952708,3581.57788868994,44474.1655839607,TRUE
"30","Employee 30",40275.4553197883,-3969.33383657597,36306.1214832123,FALSE
"31","Employee 31",44633.5802832618,6150.86733247153,50784.4476157334,TRUE
"32","Employee 32",48603.3630440943,4644.50678322464,53247.8698273189,TRUE
"33","Employee 33",48254.0810736828,-3108.8224099949,45145.2586636879,FALSE
"34","Employee 34",41116.0374898463,6893.58534174971,48009.6228315961,TRUE
"35","Employee 35",48629.5899166726,8025.52787237801,56655.1177890506,TRUE
"36","Employee 36",49986.6363685578,5332.5507696718,55319.1871382296,TRUE
"37","Employee 37",49630.7234698907,-2012.58218032308,47618.1412895676,FALSE
"38","Employee 38",45708.8606548496,6682.4000782799,52391.2607331295,TRUE
"39","Employee 39",40254.9043437466,9914.24176609144,50169.146109838,TRUE
"40","Employee 40",40255.5312099867,6476.28907579929,46731.8202857859,TRUE
"41","Employee 41",41819.8899319395,-1174.79004547931,40645.0998864602,FALSE
"42","Employee 42",42226.3413807377,9133.91532376409,51360.2567045018,TRUE
"43","Employee 43",40831.6045580432,7452.00745644979,48283.612014493,TRUE
"44","Employee 44",45828.0177856795,5400.14685131609,51228.1646369956,TRUE
"45","Employee 45",49554.189722985,-2724.80384679511,46829.3858761899,FALSE
"46","Employee 46",44924.2611578666,-2366.59824848175,42557.6629093848,FALSE
"47","Employee 47",49208.0292082392,4726.03184869513,53934.0610569343,TRUE
"48","Employee 48",47021.6768141836,4864.854804473,51886.5316186566,TRUE
"49","Employee 49",43960.8765463345,-4957.14604272507,39003.7305036094,FALSE
"50","Employee 50",46785.9208304435,2286.52494028211,49072.4457707256,TRUE
"51","Employee 51",41155.4100411013,-412.267921492457,40743.1421196088,FALSE
"52","Employee 52",48117.8158009425,1170.43991922401,49288.2557201665,TRUE
"53","Employee 53",41704.1062260978,3187.51552142203,44891.6217475198,TRUE
"54","Employee 54",42222.379851155,-1854.38755317591,40367.9922979791,FALSE
"55","Employee 55",44400.2228998579,-1948.42469762079,42451.7982022371,FALSE
"56","Employee 56",48646.0337485187,3083.24987418018,51729.2836226989,TRUE
"57","Employee 57",45836.129875388,5214.27208557725,51050.4019609652,TRUE
"58","Employee 58",45765.224264469,792.869257275015,46558.093521744,TRUE
"59","Employee 59",40331.8380238488,495.766639942303,40827.6046637911,TRUE
"60","Employee 60",41509.4352234155,-2593.722025631,38915.7131977845,FALSE
"61","Employee 61",41881.6707469523,9982.23883798346,51863.9095849358,TRUE
"62","Employee 62",46381.9147483446,6115.00112339854,52496.9158717431,TRUE
"63","Employee 63",42967.3403617926,5840.25683812797,48807.5971999206,TRUE
"64","Employee 64",43253.6832219921,1216.22309321538,44469.9063152075,TRUE
"65","Employee 65",44183.2393617369,-3941.13663234748,40242.1027293894,FALSE
"66","Employee 66",40931.2178357504,6200.53497026674,47131.7528060172,TRUE
"67","Employee 67",46683.4580362774,3393.25400069356,50076.712036971,TRUE
"68","Employee 68",43159.8299206235,-939.392023719847,42220.4378969036,FALSE
"69","Employee 69",43885.5392276309,2927.4960886687,46813.0353162996,TRUE
"70","Employee 70",47194.7457757778,-4813.28516500071,42381.4606107771,FALSE
"71","Employee 71",43916.6560140438,600.563196931034,44517.2192109749,TRUE
